n,labels
"(:Partiresultat:Sverigedemokraterna {roster2018: 3597,kommun: Avesta,roster2022: 4006,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Others:Partiresultat {roster2018: 193,kommun: Avesta,roster2022: 205,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 14573,kommun: Avesta,roster2022: 14344,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 7,kommun: Avesta,roster2022: 1,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 148,kommun: Avesta,roster2022: 153,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 3,kommun: Avesta,roster2022: 6,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 14731,kommun: Avesta,roster2022: 14504,parti: Valdeltagande})","[Info, Turnout]"
"(:EligibleToVote:Info {roster2018: 16988,kommun: Avesta,roster2022: 17253,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Moderaterna:Partiresultat {roster2018: 859,kommun: Bengtsfors,roster2022: 833,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Centerpartiet:Partiresultat {roster2018: 558,kommun: Bengtsfors,roster2022: 347,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Liberalerna:Partiresultat {roster2018: 158,kommun: Bengtsfors,roster2022: 141,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Kristdemokraterna:Partiresultat {roster2018: 446,kommun: Bengtsfors,roster2022: 380,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 1910,kommun: Bengtsfors,roster2022: 1903,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 320,kommun: Bengtsfors,roster2022: 260,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Miljöpartiet:Partiresultat {roster2018: 140,kommun: Bengtsfors,roster2022: 192,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 1556,kommun: Bengtsfors,roster2022: 1735,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Others:Partiresultat {roster2018: 66,kommun: Bengtsfors,roster2022: 49,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 6013,kommun: Bengtsfors,roster2022: 5840,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 1,kommun: Bengtsfors,roster2022: 2,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 52,kommun: Bengtsfors,roster2022: 61,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 2,kommun: Bengtsfors,roster2022: 2,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 6068,kommun: Bengtsfors,roster2022: 5905,parti: Valdeltagande})","[Info, Turnout]"
"(:EligibleToVote:Info {roster2018: 7103,kommun: Bengtsfors,roster2022: 7070,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Moderaterna:Partiresultat {roster2018: 704,kommun: Berg,roster2022: 788,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Centerpartiet:Partiresultat {roster2018: 779,kommun: Berg,roster2022: 434,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Liberalerna:Partiresultat {roster2018: 77,kommun: Berg,roster2022: 63,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Kristdemokraterna:Partiresultat {roster2018: 210,kommun: Berg,roster2022: 260,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 1475,kommun: Berg,roster2022: 1476,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 290,kommun: Berg,roster2022: 198,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Miljöpartiet:Partiresultat {roster2018: 103,kommun: Berg,roster2022: 153,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 906,kommun: Berg,roster2022: 1115,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
"(:Others:Partiresultat {roster2018: 66,kommun: Berg,roster2022: 67,parti: Övriga anmälda partier})","[Partiresultat, Others]"
"(:Info:Valid {roster2018: 4610,kommun: Berg,roster2022: 4554,parti: Giltiga Röster})","[Info, Valid]"
"(:Info:Invalid {roster2018: 1,kommun: Berg,roster2022: 1,parti: Ogiltiga röster - inte anmälda partier})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 46,kommun: Berg,roster2022: 68,parti: Ogiltiga röster - blanka})","[Info, Invalid]"
"(:Info:Invalid {roster2018: 2,kommun: Berg,roster2022: 2,parti: Ogiltiga röster - övriga})","[Info, Invalid]"
"(:Info:Turnout {roster2018: 4659,kommun: Berg,roster2022: 4625,parti: Valdeltagande})","[Info, Turnout]"
"(:EligibleToVote:Info {roster2018: 5443,kommun: Berg,roster2022: 5527,parti: Röstberättigade})","[Info, EligibleToVote]"
"(:Moderaterna:Partiresultat {roster2018: 284,kommun: Bjurholm,roster2022: 301,parti: Moderaterna})","[Partiresultat, Moderaterna]"
"(:Centerpartiet:Partiresultat {roster2018: 233,kommun: Bjurholm,roster2022: 121,parti: Centerpartiet})","[Partiresultat, Centerpartiet]"
"(:Liberalerna:Partiresultat {roster2018: 79,kommun: Bjurholm,roster2022: 45,parti: Liberalerna })","[Partiresultat, Liberalerna]"
"(:Kristdemokraterna:Partiresultat {roster2018: 121,kommun: Bjurholm,roster2022: 137,parti: Kristdemokraterna})","[Partiresultat, Kristdemokraterna]"
"(:Partiresultat:Socialdemokraterna {roster2018: 464,kommun: Bjurholm,roster2022: 447,parti: Arbetarepartiet-Socialdemokraterna})","[Partiresultat, Socialdemokraterna]"
"(:Partiresultat:Vänsterpartiet {roster2018: 80,kommun: Bjurholm,roster2022: 42,parti: Vänsterpartiet})","[Partiresultat, Vänsterpartiet]"
"(:Miljöpartiet:Partiresultat {roster2018: 23,kommun: Bjurholm,roster2022: 29,parti: Miljöpartiet de gröna})","[Partiresultat, Miljöpartiet]"
"(:Partiresultat:Sverigedemokraterna {roster2018: 296,kommun: Bjurholm,roster2022: 364,parti: Sverigedemokraterna})","[Partiresultat, Sverigedemokraterna]"
